players	shapes	dead_alive	time_to_end_game
179	star	0	65.6
180	star	0	67.8
181	star	0	68.5
182	star	0	70.5
183	star	0	70.6
184	star	0	73.5
185	star	0	74.8
186	star	0	75.4
187	star	0	77.7
188	star	0	79.2
189	star	0	79.5
190	star	0	82.6
191	star	0	85.4
192	star	0	86.2
193	star	0	86.3
194	star	0	87.8
195	star	0	90
196	star	0	90.8
197	star	0	91.6
198	star	0	91.9
199	star	0	93.3
200	star	0	94.6
201	star	0	96.2
202	star	0	96.4
203	star	0	96.4
204	star	0	96.8
205	star	0	99.2
206	star	0	100.4
207	star	0	102.6
208	star	0	103.2
209	star	0	107.6
210	star	0	107.8
211	star	0	107.9
212	star	0	109.9
263	star	1	9.6
264	star	1	24.1
265	star	1	43.8
266	star	1	44.4
267	star	1	46.6
268	star	1	64.8
269	star	1	64.8
270	star	1	68.2
271	star	1	77.5
272	star	1	93.3
273	star	1	95.4
274	star	1	98.4
275	star	1	101.1
295	triangle	0	1
296	triangle	0	6.2
297	triangle	0	6.2
298	triangle	0	6.3
299	triangle	0	11.2
300	triangle	0	17.9
301	triangle	0	24.9
302	triangle	0	28.6
303	triangle	0	29.2
304	triangle	0	32
305	triangle	0	33.7
306	triangle	0	38.4
307	triangle	0	40.3
308	triangle	0	40.5
309	triangle	0	41.4
310	triangle	0	41.7
311	triangle	0	45.4
312	triangle	0	45.5
313	triangle	0	45.5
314	triangle	0	45.8
315	triangle	0	47.1
316	triangle	0	49.7
317	triangle	0	50.2
318	triangle	0	50.8
319	triangle	0	50.9
320	triangle	0	52.2
321	triangle	0	54.2
322	triangle	0	54.4
323	triangle	0	56.3
324	triangle	0	56.4
325	triangle	0	56.6
326	triangle	0	59.6
327	triangle	0	59.9
328	triangle	0	62.9
329	triangle	0	63.8
330	triangle	0	65
331	triangle	0	68.6
332	triangle	0	70.6
333	triangle	0	71.8
334	triangle	0	72.1
335	triangle	0	72.4
336	triangle	0	73.8
337	triangle	0	76
338	triangle	0	78.5
339	triangle	0	78.7
340	triangle	0	84.6
341	triangle	0	85.4
342	triangle	0	86.8
343	triangle	0	90.8
344	triangle	0	92.6
345	triangle	0	93.9
346	triangle	0	94.9
347	triangle	0	95.5
348	triangle	0	102.1
349	triangle	0	105.8
350	triangle	0	106.9
368	triangle	1	2.3
369	triangle	1	24.2
370	triangle	1	34.7
371	triangle	1	35.1
372	triangle	1	39.8
373	triangle	1	48.9
374	triangle	1	53.1
375	triangle	1	53.8
376	triangle	1	57.6
377	triangle	1	57.8
378	triangle	1	60.5
379	triangle	1	60.7
380	triangle	1	63.9
381	triangle	1	64.8
382	triangle	1	96.1
393	umbrella	0	0.1
394	umbrella	0	0.3
395	umbrella	0	0.3
396	umbrella	0	0.4
397	umbrella	0	0.4
398	umbrella	0	0.5
399	umbrella	0	0.7
400	umbrella	0	0.7
401	umbrella	0	0.7
402	umbrella	0	1.5
403	umbrella	0	1.7
404	umbrella	0	3.7
405	umbrella	0	4.8
406	umbrella	0	7.3
407	umbrella	0	7.6
408	umbrella	0	8.2
409	umbrella	0	15.3
410	umbrella	0	16
411	umbrella	0	16.6
412	umbrella	0	16.7
413	umbrella	0	17.4
414	umbrella	0	19.4
415	umbrella	0	20.7
416	umbrella	0	22.2
417	umbrella	0	23
418	umbrella	0	25.7
419	umbrella	0	27.4
420	umbrella	0	28.6
421	umbrella	0	29.4
422	umbrella	0	30.1
423	umbrella	0	32.6
424	umbrella	0	32.8
425	umbrella	0	36.8
426	umbrella	0	37.2
427	umbrella	0	40.7
428	umbrella	0	41.9
429	umbrella	0	43.8
430	umbrella	0	43.8
431	umbrella	0	44.2
432	umbrella	0	44.2
433	umbrella	0	45.1
434	umbrella	0	45.2
435	umbrella	0	46.7
436	umbrella	0	46.7
437	umbrella	0	47.8
438	umbrella	0	48.6
439	umbrella	0	48.7
440	umbrella	0	48.7
441	umbrella	0	49.1
442	umbrella	0	49.2
443	umbrella	0	49.4
444	umbrella	0	50
445	umbrella	0	50.3
446	umbrella	0	53.3
447	umbrella	0	53.3
448	umbrella	0	54.8
449	umbrella	0	56.7
450	umbrella	0	57.1
451	umbrella	0	57.3
452	umbrella	0	60.4
453	umbrella	0	60.8
454	umbrella	0	62.3
455	umbrella	0	62.9
456	umbrella	0	63
457	umbrella	0	65.5
458	umbrella	0	67.7
459	umbrella	0	69.3
460	umbrella	0	71.4
461	umbrella	0	71.5
462	umbrella	0	74.3
463	umbrella	0	77.2
464	umbrella	0	79.6
465	umbrella	0	83.2
466	umbrella	0	83.5
467	umbrella	0	83.7
468	umbrella	0	84.6
469	umbrella	0	88.9
470	umbrella	0	90.8
471	umbrella	0	91.4
472	umbrella	0	93.5
473	umbrella	0	99.2
474	umbrella	0	101.2
475	umbrella	0	104
495	umbrella	1	0.5
496	umbrella	1	0.6
497	umbrella	1	2.6
498	umbrella	1	7.7
499	umbrella	1	8.7
500	umbrella	1	9.4
501	umbrella	1	9.8
502	umbrella	1	11.1
503	umbrella	1	11.1
504	umbrella	1	11.3
505	umbrella	1	13.8
506	umbrella	1	14.6
507	umbrella	1	14.8
508	umbrella	1	15.4
509	umbrella	1	15.5
510	umbrella	1	16.2
511	umbrella	1	17.8
512	umbrella	1	19.9
513	umbrella	1	20.5
514	umbrella	1	22.4
515	umbrella	1	22.8
516	umbrella	1	23.1
517	umbrella	1	23.4
518	umbrella	1	24
519	umbrella	1	24.5
520	umbrella	1	26.9
521	umbrella	1	26.9
522	umbrella	1	27
523	umbrella	1	27.9
524	umbrella	1	31.6
525	umbrella	1	33.3
526	umbrella	1	33.5
527	umbrella	1	34.3
528	umbrella	1	34.9
529	umbrella	1	35.4
530	umbrella	1	36
531	umbrella	1	37.2
532	umbrella	1	37.8
533	umbrella	1	38.5
534	umbrella	1	38.8
535	umbrella	1	38.8
536	umbrella	1	42.7
537	umbrella	1	43.5
538	umbrella	1	44.2
539	umbrella	1	45.4
540	umbrella	1	45.5
541	umbrella	1	46
542	umbrella	1	46.8
543	umbrella	1	48
544	umbrella	1	48.5
545	umbrella	1	49.2
546	umbrella	1	51
547	umbrella	1	51.2
548	umbrella	1	53.2
549	umbrella	1	53.5
550	umbrella	1	53.7
551	umbrella	1	54.4
552	umbrella	1	55
553	umbrella	1	55.9
554	umbrella	1	56.1
555	umbrella	1	57.7
556	umbrella	1	59.2
557	umbrella	1	67.5
558	umbrella	1	72.2
559	umbrella	1	72.7
560	umbrella	1	73.7
561	umbrella	1	74.2
562	umbrella	1	75.8
563	umbrella	1	76.6
564	umbrella	1	77.5
565	umbrella	1	81.4
566	umbrella	1	81.4
567	umbrella	1	81.9
568	umbrella	1	82.1
569	umbrella	1	88.6
570	umbrella	1	98.7
571	umbrella	1	103.3
572	umbrella	1	106.2
