Age,Occupation,Marital_status,Education_level,Savings_amount,Own_car,Own_house,Monthly_income,Dead_or_Alive
43,labourer,married,secondary,3285,yes,no,1721,Dead
52,labourer,married,secondary,3923,yes,no,942,Dead
53,labourer,divorced,primary,1443,yes,no,476,Dead
48,labourer,divorced,primary,24,yes,no,832,Dead
41,labourer,single,primary,1618,yes,no,1553,Dead
39,management,divorced,tertiary,517,yes,yes,1328,Dead
59,unemployed,married,secondary,1521,yes,yes,1125,Dead
41,labourer,married,secondary,2823,yes,no,858,Dead
48,labourer,married,secondary,1405,yes,no,629,Dead
40,management,married,secondary,1535,yes,no,704,Dead
48,labourer,married,secondary,1596,yes,no,760,Dead
60,unemployed,married,primary,1542,yes,no,930,Dead
40,labourer,single,unknown,3652,yes,no,1028,Dead
57,labourer,married,tertiary,-1,no,no,850,Dead
51,labourer,married,secondary,7180,yes,no,927,Dead
41,labourer,divorced,secondary,5291,yes,no,1423,Dead
41,labourer,married,secondary,1384,yes,no,1162,Dead
52,labourer,divorced,primary,-191,yes,no,755,Dead
59,labourer,married,primary,320,yes,no,695,Dead
44,labourer,married,unknown,146,yes,no,483,Dead
49,unemployed,married,primary,341,yes,yes,520,Dead
40,labourer,married,primary,-9,yes,no,920,Dead
41,management,married,primary,-306,yes,no,500,Dead
44,labourer,married,tertiary,4580,yes,no,911,Dead
60,labourer,single,primary,313,yes,no,920,Dead
29,management,married,tertiary,10576,no,no,1224,Dead
41,unemployed,divorced,primary,-233,yes,no,1156,Dead
41,labourer,married,primary,2453,yes,no,1052,Dead
42,labourer,single,secondary,1364,yes,no,1867,Dead
36,labourer,single,unknown,281,yes,no,515,Dead
39,labourer,married,tertiary,94,yes,yes,813,Dead
31,unemployed,single,tertiary,144,yes,no,676,Dead
26,labourer,married,secondary,246,yes,no,1143,Dead
31,labourer,married,secondary,92,yes,no,688,Dead
29,management,single,secondary,163,yes,yes,803,Dead
37,labourer,divorced,secondary,49,yes,no,619,Dead
33,labourer,single,secondary,-416,yes,no,767,Dead
24,labourer,single,secondary,409,yes,no,912,Dead
50,management,divorced,secondary,363,yes,no,1340,Dead
27,labourer,single,tertiary,3706,yes,no,897,Dead
54,management,single,tertiary,4393,yes,no,1297,Dead
30,labourer,single,secondary,863,yes,no,1193,Dead
34,labourer,married,primary,695,yes,yes,1064,Dead
37,management,single,secondary,792,yes,no,1187,Dead
41,management,single,secondary,1020,yes,no,882,Dead
47,labourer,married,secondary,863,yes,no,943,Dead
31,management,married,secondary,97,yes,no,607,Dead
31,labourer,married,secondary,754,yes,no,1022,Dead
43,labourer,divorced,secondary,1040,yes,no,552,Dead
37,management,divorced,tertiary,122,yes,no,1622,Dead
30,labourer,single,tertiary,880,yes,yes,967,Dead
41,labourer,married,secondary,501,yes,no,579,Dead
36,labourer,married,secondary,4438,yes,no,446,Dead
35,labourer,divorced,secondary,0,yes,no,1205,Dead
29,labourer,single,secondary,271,yes,no,1882,Dead
35,labourer,married,primary,102,yes,no,1334,Dead
31,labourer,married,secondary,2,yes,no,182,Dead
35,labourer,married,secondary,4170,yes,no,1777,Dead
34,labourer,single,secondary,85,yes,no,1182,Dead
31,management,single,secondary,431,yes,yes,1045,Dead
44,labourer,divorced,secondary,982,yes,no,650,Dead
36,labourer,married,primary,408,yes,yes,1063,Dead
35,labourer,married,unknown,4822,yes,no,843,Dead
41,labourer,married,primary,1250,yes,no,1392,Dead
31,labourer,single,primary,216,yes,no,565,Dead
34,labourer,married,secondary,1207,yes,no,905,Dead
32,labourer,married,secondary,791,yes,no,783,Dead
36,management,married,tertiary,849,yes,yes,958,Dead
30,labourer,single,secondary,239,yes,no,412,Dead
37,labourer,single,secondary,1211,yes,no,795,Dead
36,labourer,married,primary,599,yes,no,649,Dead
31,management,single,tertiary,825,yes,no,506,Dead
27,labourer,married,secondary,2183,yes,yes,857,Dead
34,unemployed,married,primary,4499,no,no,1681,Dead
30,labourer,single,tertiary,1289,yes,no,1697,Dead
32,labourer,single,tertiary,4665,yes,no,860,Dead
37,labourer,single,secondary,3326,yes,no,799,Dead
32,labourer,married,secondary,783,yes,no,923,Dead
33,labourer,married,secondary,0,yes,no,521,Dead
35,labourer,married,primary,994,yes,no,1349,Dead
35,unemployed,divorced,tertiary,1354,yes,no,736,Dead
30,labourer,single,secondary,239,yes,no,785,Dead
45,labourer,divorced,primary,-311,yes,no,1030,Dead
45,management,married,secondary,149,yes,no,893,Dead
33,labourer,married,secondary,1464,yes,no,588,Dead
44,management,divorced,tertiary,5773,no,no,597,Dead
40,labourer,married,primary,278,yes,no,1015,Dead
31,labourer,married,secondary,2910,yes,no,1392,Dead
30,labourer,married,tertiary,541,yes,no,414,Dead
44,labourer,divorced,secondary,1262,yes,no,788,Dead
34,labourer,married,secondary,-538,yes,no,682,Dead
37,labourer,married,secondary,125,no,no,679,Dead
28,unemployed,single,tertiary,0,yes,no,1560,Dead
32,management,single,secondary,620,yes,no,1234,Dead
37,labourer,divorced,secondary,316,yes,no,642,Dead
34,management,married,tertiary,2287,yes,no,895,Dead
38,management,divorced,secondary,198,yes,no,431,Dead
28,management,single,secondary,460,yes,no,741,Dead
31,management,divorced,tertiary,1145,yes,no,1272,Dead
59,labourer,married,secondary,-22,yes,no,748,Dead
24,labourer,married,secondary,685,yes,no,896,Dead
26,labourer,single,secondary,901,yes,no,764,Dead
59,unemployed,single,secondary,351,yes,no,1063,Dead
30,businessman,single,primary,0,yes,yes,1051,Dead
37,management,married,secondary,274,yes,no,731,Dead
30,management,single,secondary,-213,yes,yes,751,Dead
25,labourer,married,secondary,97,yes,no,709,Dead
44,labourer,divorced,secondary,51,yes,yes,3094,Dead
29,management,married,tertiary,314,no,no,938,Dead
26,management,single,tertiary,6840,yes,no,1560,Dead
26,labourer,single,secondary,668,yes,no,576,Dead
27,labourer,single,secondary,54,yes,no,543,Dead
25,unemployed,single,secondary,1242,yes,no,615,Dead
28,management,married,secondary,292,yes,no,507,Dead
23,labourer,single,secondary,665,yes,no,1183,Dead
34,management,single,tertiary,1058,yes,no,864,Dead
28,labourer,single,secondary,949,yes,no,1730,Dead
51,businessman,married,unknown,606,yes,no,560,Dead
35,labourer,married,secondary,0,yes,yes,543,Dead
35,management,married,secondary,404,yes,no,539,Dead
56,labourer,married,secondary,249,yes,no,791,Dead
45,unemployed,divorced,secondary,3354,yes,no,746,Dead
60,labourer,divorced,secondary,0,yes,no,1207,Dead
56,labourer,married,secondary,589,yes,no,535,Dead
27,management,single,tertiary,12956,yes,no,789,Dead
30,management,married,secondary,873,yes,no,792,Dead
45,labourer,divorced,primary,594,yes,no,833,Dead
29,labourer,single,secondary,-20,yes,no,814,Dead
38,management,divorced,tertiary,4692,yes,no,1363,Dead
30,labourer,married,secondary,486,yes,no,1109,Dead
44,labourer,single,primary,1593,yes,no,828,Dead
36,management,single,tertiary,7606,yes,no,917,Dead
38,labourer,married,secondary,226,yes,no,762,Dead
36,labourer,single,secondary,366,yes,yes,1133,Dead
37,management,divorced,secondary,16,yes,no,638,Dead
35,management,single,tertiary,565,yes,no,763,Dead
38,management,divorced,secondary,19,yes,no,604,Dead
40,labourer,married,primary,1082,yes,no,854,Dead
42,unemployed,divorced,secondary,1713,yes,no,855,Dead
46,management,divorced,tertiary,14481,yes,no,1269,Dead
35,labourer,divorced,secondary,5724,yes,no,691,Dead
34,labourer,divorced,secondary,1451,yes,no,1097,Dead
32,labourer,married,secondary,-34,yes,no,1236,Dead
50,unemployed,married,secondary,3674,yes,no,886,Dead
35,labourer,married,secondary,698,yes,yes,1343,Dead
36,labourer,single,secondary,4136,yes,no,812,Dead
53,labourer,divorced,primary,2656,yes,no,1980,Dead
46,management,single,tertiary,2904,yes,no,984,Dead
26,management,single,tertiary,1004,yes,no,228,Dead
45,labourer,single,secondary,410,yes,no,891,Dead
31,unemployed,divorced,primary,0,yes,no,745,Dead
29,management,single,tertiary,0,yes,no,539,Dead
53,businessman,single,secondary,62,yes,no,1044,Dead
27,labourer,married,primary,416,yes,no,1193,Dead
39,management,married,tertiary,2763,yes,no,526,Dead
36,labourer,married,secondary,2984,yes,no,394,Dead
41,labourer,married,primary,143,yes,yes,659,Dead
36,labourer,married,primary,0,yes,no,1036,Dead
32,labourer,married,secondary,696,yes,no,815,Dead
35,labourer,married,secondary,152,yes,no,563,Dead
36,management,single,tertiary,-78,yes,no,1068,Dead
35,management,married,tertiary,867,yes,no,230,Dead
30,labourer,single,secondary,953,yes,no,747,Dead
42,labourer,married,secondary,443,yes,no,671,Dead
42,labourer,single,secondary,-1129,yes,no,555,Dead
32,labourer,married,primary,415,yes,no,777,Dead
29,labourer,single,secondary,260,yes,no,707,Dead
44,management,divorced,tertiary,-411,yes,no,432,Dead
32,labourer,single,secondary,1279,yes,no,1173,Dead
31,unemployed,married,secondary,86,yes,yes,963,Dead
40,unemployed,married,secondary,-754,yes,yes,941,Dead
43,businessman,married,secondary,0,no,no,1025,Dead
27,management,single,secondary,178,yes,no,732,Dead
37,labourer,single,secondary,278,yes,no,1045,Dead
23,labourer,single,secondary,425,yes,no,768,Dead
25,management,married,primary,168,yes,no,801,Dead
26,labourer,single,secondary,-36,yes,no,482,Dead
47,labourer,divorced,primary,126,yes,no,2456,Dead
35,management,married,secondary,-87,yes,no,1363,Dead
32,labourer,single,tertiary,6281,yes,no,1336,Dead
45,management,divorced,secondary,644,yes,no,633,Dead
30,management,divorced,secondary,377,yes,no,524,Dead
29,labourer,single,secondary,-271,yes,no,578,Dead
38,labourer,married,primary,5839,yes,no,984,Dead
23,labourer,single,secondary,492,yes,no,638,Dead
27,management,single,tertiary,99,yes,no,767,Dead
27,management,single,tertiary,-713,yes,no,525,Dead
29,labourer,single,secondary,32,yes,no,563,Dead
30,unemployed,married,tertiary,543,yes,yes,1449,Dead
36,labourer,married,primary,403,yes,no,920,Dead
35,management,divorced,secondary,437,yes,no,908,Dead
36,labourer,married,secondary,1772,no,no,208,Dead
59,unemployed,divorced,primary,-88,yes,no,910,Dead
47,businessman,married,secondary,0,no,no,1446,Dead
58,businessman,married,tertiary,853,no,no,1149,Dead
37,management,single,tertiary,240,no,no,1123,Dead
46,management,single,secondary,849,yes,no,508,Dead
43,labourer,single,secondary,318,yes,no,736,Dead
27,management,single,tertiary,703,yes,no,590,Dead
38,labourer,divorced,secondary,61,no,no,636,Dead
53,labourer,married,primary,104,no,yes,701,Dead
47,labourer,married,secondary,1996,no,no,761,Dead
56,labourer,divorced,primary,1238,no,no,1558,Dead
41,labourer,married,secondary,879,no,no,1053,Dead
29,unemployed,married,secondary,425,yes,no,562,Dead
50,labourer,married,secondary,416,yes,no,494,Dead
45,labourer,divorced,primary,844,no,no,1018,Dead
35,labourer,married,secondary,860,yes,no,884,Dead
26,labourer,single,secondary,639,yes,no,709,Dead
26,management,married,secondary,710,yes,yes,1276,Dead
37,labourer,married,unknown,1508,no,yes,381,Dead
30,management,single,secondary,223,yes,no,862,Dead
38,management,single,tertiary,619,yes,no,460,Dead
37,labourer,divorced,secondary,319,yes,no,467,Dead
53,labourer,married,secondary,480,no,no,648,Dead
29,labourer,single,primary,213,yes,no,2653,Dead
35,management,single,tertiary,68,no,no,1085,Dead
28,labourer,married,secondary,2788,yes,no,369,Dead
55,labourer,married,unknown,7561,no,no,685,Dead
49,management,divorced,secondary,-46,yes,no,1055,Dead
50,labourer,married,secondary,1595,no,no,882,Dead
43,management,single,tertiary,1046,no,no,901,Dead
58,unemployed,divorced,tertiary,1382,no,no,700,Dead
38,labourer,married,primary,217,yes,no,491,Dead
48,labourer,divorced,primary,183,no,no,940,Dead
59,management,married,secondary,1321,no,no,3881,Dead
58,labourer,married,secondary,25,no,no,486,Dead
36,unemployed,single,tertiary,4844,no,no,1137,Dead
42,businessman,married,tertiary,5345,no,no,878,Dead
41,management,single,secondary,812,no,yes,583,Dead
42,management,married,secondary,105,no,no,1159,Dead
39,management,married,tertiary,-190,no,yes,893,Dead
57,labourer,married,primary,625,no,yes,867,Dead
52,unemployed,married,unknown,293,no,no,706,Dead
59,unemployed,married,unknown,1033,no,no,1199,Dead
56,labourer,married,secondary,1210,no,no,935,Dead
49,management,married,tertiary,64,no,no,586,Dead
35,labourer,divorced,unknown,164,no,no,967,Dead
36,unemployed,married,secondary,1766,no,no,595,Dead
40,management,single,tertiary,1248,no,no,1290,Dead
55,labourer,married,secondary,0,no,no,614,Dead
58,management,married,secondary,826,no,no,885,Dead
39,unemployed,married,tertiary,2630,no,no,651,Dead
47,labourer,single,tertiary,3727,no,no,993,Dead
40,management,married,secondary,406,yes,no,577,Dead
35,labourer,married,tertiary,2999,no,no,1141,Dead
48,labourer,married,secondary,1000,yes,no,1268,Dead
48,management,divorced,tertiary,503,no,yes,1243,Dead
24,labourer,single,secondary,-203,yes,no,465,Dead
49,labourer,married,primary,361,yes,no,513,Dead
36,labourer,married,secondary,274,yes,no,686,Dead
52,unemployed,divorced,tertiary,3687,yes,yes,741,Dead
42,businessman,single,unknown,323,no,no,617,Dead
36,labourer,married,secondary,981,no,no,1093,Dead
36,labourer,divorced,secondary,638,yes,no,1395,Dead
48,unemployed,single,tertiary,3229,no,no,1089,Dead
51,management,single,secondary,1610,yes,no,1248,Dead
51,labourer,married,secondary,33,no,yes,721,Dead
46,labourer,married,secondary,536,yes,no,750,Dead
37,management,married,tertiary,0,no,no,637,Dead
36,businessman,married,tertiary,3057,no,no,2769,Dead
47,management,married,secondary,2892,no,no,556,Dead
40,labourer,divorced,tertiary,0,no,no,522,Dead
38,labourer,single,tertiary,3316,no,no,1345,Dead
40,management,married,secondary,106,no,no,676,Dead
39,labourer,married,primary,2303,yes,no,775,Dead
60,management,married,tertiary,3301,no,no,2621,Dead
39,unemployed,single,tertiary,426,no,no,1029,Dead
51,labourer,divorced,secondary,9,no,no,371,Dead
27,management,married,secondary,-97,yes,no,1528,Dead
41,management,single,tertiary,11008,no,no,1540,Dead
42,labourer,single,primary,4930,no,no,973,Dead
41,businessman,married,secondary,707,no,no,707,Dead
33,labourer,married,secondary,4,yes,yes,625,Dead
46,management,married,secondary,126,no,no,1255,Dead
31,labourer,married,secondary,671,yes,no,704,Dead
41,labourer,married,primary,219,no,yes,1574,Dead
41,labourer,divorced,secondary,3622,no,no,1135,Dead
55,unemployed,divorced,secondary,1580,no,yes,1007,Dead
53,labourer,married,secondary,1319,no,no,1318,Dead
55,labourer,married,primary,2152,no,no,922,Dead
39,labourer,married,secondary,2843,yes,no,585,Dead
40,businessman,married,tertiary,0,no,no,952,Dead
59,unemployed,married,primary,1115,no,no,834,Dead
42,labourer,single,secondary,625,no,no,651,Dead
41,labourer,married,primary,246,no,no,683,Dead
27,labourer,married,secondary,61,yes,no,1012,Dead
25,labourer,single,secondary,-191,yes,no,958,Dead
43,unemployed,married,primary,519,no,no,973,Dead
44,labourer,married,secondary,522,no,yes,911,Dead
26,labourer,single,secondary,-46,yes,no,382,Dead
52,unemployed,married,tertiary,2269,no,no,1210,Dead
54,labourer,married,unknown,386,no,yes,838,Dead
56,management,married,tertiary,0,no,yes,422,Dead
57,management,married,tertiary,9103,no,yes,1098,Dead
29,labourer,single,secondary,908,yes,no,1663,Dead
47,labourer,married,tertiary,1694,no,yes,560,Dead
57,management,married,tertiary,-92,yes,yes,1617,Dead
40,labourer,married,secondary,188,yes,yes,570,Dead
46,labourer,divorced,secondary,0,no,no,1023,Dead
43,labourer,single,secondary,740,yes,no,585,Dead
45,management,married,tertiary,655,no,no,693,Dead
24,management,married,secondary,867,yes,no,546,Dead
40,labourer,married,secondary,1009,yes,yes,1036,Dead
38,labourer,divorced,unknown,6360,no,no,1409,Dead
36,unemployed,married,tertiary,4145,no,no,988,Dead
27,labourer,single,secondary,-27,no,no,498,Dead
26,management,single,primary,-122,yes,no,670,Dead
43,management,married,tertiary,149,yes,no,662,Dead
25,labourer,single,primary,52,yes,no,528,Dead
27,labourer,married,tertiary,335,yes,no,519,Dead
30,labourer,married,tertiary,526,yes,yes,677,Dead
28,management,single,secondary,-7,no,yes,3183,Dead
27,labourer,married,primary,-413,no,yes,422,Dead
32,management,divorced,secondary,-241,no,yes,856,Dead
41,labourer,single,secondary,75,yes,no,479,Dead
37,labourer,single,tertiary,0,no,no,1135,Dead
27,labourer,single,secondary,158,no,no,650,Dead
29,labourer,single,secondary,84,no,yes,587,Dead
33,labourer,married,secondary,114,no,yes,676,Dead
36,labourer,married,primary,0,no,no,584,Dead
28,labourer,single,secondary,-127,yes,no,1044,Dead
55,labourer,married,secondary,49,yes,no,494,Dead
51,labourer,married,secondary,216,no,no,615,Dead
39,labourer,single,secondary,506,yes,no,718,Dead
42,labourer,divorced,primary,213,yes,no,434,Dead
33,labourer,single,secondary,170,no,no,782,Dead
36,businessman,divorced,tertiary,776,no,yes,722,Dead
45,labourer,married,secondary,879,no,no,621,Dead
37,unemployed,married,secondary,1633,no,no,629,Dead
46,unemployed,married,secondary,926,no,no,385,Dead
32,unemployed,single,tertiary,2559,no,no,889,Dead
28,labourer,single,secondary,909,no,yes,532,Dead
45,management,divorced,secondary,-176,no,yes,574,Dead
41,labourer,single,secondary,1085,yes,yes,599,Dead
59,labourer,divorced,primary,1265,no,yes,849,Dead
47,labourer,single,secondary,-239,yes,yes,973,Dead
31,labourer,single,secondary,726,no,no,719,Dead
31,management,single,tertiary,296,no,yes,509,Dead
33,businessman,married,secondary,-627,yes,yes,740,Dead
52,businessman,married,tertiary,-468,no,no,534,Dead
26,unemployed,single,secondary,551,no,no,531,Dead
25,labourer,single,secondary,0,no,yes,634,Dead
25,labourer,married,secondary,101,no,yes,460,Dead
28,labourer,single,secondary,517,no,yes,681,Dead
33,businessman,divorced,tertiary,37,no,yes,1082,Dead
45,management,divorced,tertiary,854,no,yes,730,Dead
36,labourer,married,secondary,30,no,yes,716,Dead
26,labourer,single,secondary,81,no,yes,803,Dead
38,labourer,married,secondary,0,no,no,635,Dead
56,labourer,single,secondary,663,no,yes,819,Dead
26,management,single,secondary,102,no,yes,658,Dead
26,labourer,married,secondary,370,no,yes,1061,Dead
25,labourer,single,secondary,189,no,yes,687,Dead
26,unemployed,single,secondary,111,no,no,537,Dead
40,labourer,married,primary,665,yes,no,781,Dead
37,management,married,primary,214,yes,no,645,Dead
43,labourer,single,primary,0,no,no,1242,Dead
41,labourer,divorced,tertiary,1583,yes,no,662,Dead
49,labourer,married,secondary,0,no,yes,625,Dead
29,management,divorced,tertiary,0,no,yes,426,Dead
39,labourer,divorced,secondary,687,yes,no,869,Dead
38,management,married,tertiary,327,yes,yes,556,Dead
26,labourer,married,secondary,-119,no,yes,359,Dead
32,management,married,tertiary,794,yes,yes,1014,Dead
33,labourer,married,primary,-191,yes,yes,1290,Dead
31,management,single,tertiary,409,no,yes,564,Dead
49,labourer,married,primary,3,no,yes,1439,Dead
27,unemployed,single,primary,9,no,yes,919,Dead
30,labourer,single,secondary,155,yes,yes,1426,Dead
35,labourer,married,secondary,1330,no,no,901,Dead
26,labourer,single,secondary,-29,yes,no,998,Dead
45,businessman,married,unknown,3133,yes,yes,804,Dead
34,management,married,secondary,-33,yes,yes,961,Dead
28,management,single,secondary,-170,no,yes,720,Dead
25,labourer,single,secondary,1243,no,yes,1341,Dead
30,labourer,single,secondary,1598,yes,no,634,Dead
30,labourer,married,secondary,5,no,yes,829,Dead
47,labourer,married,secondary,367,yes,no,476,Dead
57,management,divorced,secondary,658,no,no,724,Dead
38,management,married,tertiary,1722,yes,no,500,Dead
54,labourer,married,secondary,-315,no,yes,2029,Dead
25,labourer,single,primary,2483,no,no,1499,Dead
30,labourer,married,secondary,0,yes,yes,1399,Dead
26,management,single,tertiary,45,no,no,1187,Dead
31,labourer,married,primary,46,yes,no,487,Dead
29,labourer,single,secondary,482,no,yes,1097,Dead
49,labourer,married,secondary,3728,yes,no,1060,Dead
60,unemployed,divorced,secondary,1099,no,no,764,Dead
60,management,married,tertiary,2222,yes,no,1120,Dead
29,management,single,tertiary,983,yes,no,963,Dead
55,management,divorced,secondary,204,yes,no,1973,Dead
44,management,married,secondary,1074,yes,no,911,Dead
47,labourer,married,secondary,3466,yes,no,853,Dead
35,management,married,secondary,-203,yes,no,1649,Dead
35,businessman,married,secondary,2436,no,yes,1397,Dead
38,labourer,married,secondary,976,yes,no,766,Dead
34,businessman,married,tertiary,146,yes,no,788,Dead
50,labourer,married,secondary,156,no,yes,1130,Dead
43,management,married,tertiary,189,yes,no,1062,Dead
44,management,divorced,secondary,163,yes,no,1669,Dead
51,labourer,divorced,secondary,242,no,yes,1336,Dead
31,labourer,married,secondary,1173,yes,no,444,Dead
39,labourer,married,tertiary,0,yes,no,894,Dead
59,management,married,tertiary,296,no,yes,805,Dead
25,labourer,single,secondary,333,no,yes,1056,Dead
58,management,married,tertiary,3864,yes,no,815,Dead
30,businessman,married,primary,2686,yes,no,808,Dead
34,labourer,single,primary,-109,yes,no,860,Dead
51,labourer,divorced,secondary,65,no,yes,881,Dead
60,unemployed,married,secondary,597,no,no,981,Dead
51,businessman,married,secondary,-799,no,yes,1001,Dead
37,management,divorced,tertiary,1775,no,no,514,Dead
30,labourer,single,primary,0,no,no,716,Dead
46,businessman,divorced,secondary,-563,no,yes,769,Dead
29,labourer,single,tertiary,5,no,no,889,Dead
27,businessman,married,tertiary,139,no,no,448,Dead
28,management,single,tertiary,0,yes,no,767,Dead
34,labourer,single,secondary,855,yes,no,578,Dead
29,labourer,single,unknown,694,yes,yes,1806,Dead
27,management,single,tertiary,151,yes,no,496,Dead
26,labourer,single,secondary,354,no,no,586,Dead
36,management,married,tertiary,673,yes,no,689,Dead
44,labourer,married,primary,1265,yes,no,555,Dead
39,labourer,married,tertiary,597,no,no,686,Dead
30,labourer,married,secondary,-393,yes,yes,435,Dead
31,unemployed,divorced,tertiary,256,yes,no,873,Dead
56,labourer,married,primary,0,yes,no,1222,Dead
29,labourer,married,secondary,2870,yes,no,988,Dead
43,labourer,married,secondary,184,no,yes,1019,Dead
32,labourer,married,secondary,1905,yes,no,709,Dead
30,management,single,secondary,-36,no,no,561,Dead
40,labourer,married,secondary,-839,yes,yes,1018,Dead
42,labourer,married,secondary,3465,yes,yes,1039,Dead
27,labourer,married,secondary,119,yes,no,781,Dead
35,management,married,tertiary,36,no,yes,1656,Dead
35,labourer,married,primary,113,yes,no,923,Dead
32,labourer,single,secondary,118,yes,no,1275,Dead
39,labourer,married,secondary,251,yes,no,342,Dead
31,labourer,divorced,secondary,-277,yes,no,1008,Dead
26,labourer,single,secondary,-189,no,yes,538,Dead
42,management,married,tertiary,4,yes,no,795,Dead
27,labourer,single,secondary,1820,yes,no,1027,Dead
33,unemployed,divorced,secondary,1904,yes,no,1584,Dead
51,labourer,married,primary,201,yes,no,582,Dead
33,management,married,secondary,0,yes,no,1448,Dead
30,labourer,single,tertiary,178,no,no,656,Dead
52,labourer,married,primary,3798,yes,no,1208,Dead
42,labourer,divorced,primary,301,yes,no,1175,Dead
31,management,divorced,tertiary,294,yes,no,536,Dead
27,labourer,married,secondary,0,yes,no,991,Dead
44,labourer,single,secondary,292,no,yes,1153,Dead
40,businessman,divorced,secondary,2998,yes,no,623,Dead
46,labourer,divorced,primary,2084,yes,no,1081,Dead
32,labourer,divorced,secondary,454,yes,no,978,Dead
56,labourer,divorced,secondary,179,no,no,536,Dead
33,labourer,married,secondary,661,yes,no,968,Dead
33,labourer,married,secondary,89,yes,no,278,Dead
32,unemployed,married,primary,102,yes,no,560,Dead
41,labourer,divorced,primary,138,yes,no,640,Dead
31,management,single,secondary,622,no,no,420,Dead
30,management,divorced,secondary,10,yes,no,658,Dead
34,management,divorced,secondary,-251,no,no,641,Dead
43,businessman,married,secondary,104,yes,no,635,Dead
28,labourer,married,secondary,173,no,no,588,Dead
32,management,divorced,secondary,-46,no,yes,1373,Dead
31,labourer,divorced,secondary,0,yes,yes,913,Dead
35,businessman,single,tertiary,145,yes,no,799,Dead
31,management,married,tertiary,325,yes,no,1139,Dead
25,labourer,single,secondary,2311,no,yes,1105,Dead
56,unemployed,divorced,tertiary,158,no,yes,854,Dead
47,labourer,married,secondary,1981,yes,no,919,Dead
39,management,married,tertiary,1423,yes,no,733,Dead
51,management,married,tertiary,2455,yes,no,553,Dead
54,labourer,divorced,secondary,859,no,yes,710,Dead
58,unemployed,married,unknown,9004,no,no,891,Dead
42,unemployed,married,unknown,970,yes,no,691,Dead
56,labourer,married,primary,486,no,yes,1877,Dead
55,labourer,married,secondary,127,yes,no,1130,Dead
26,labourer,single,primary,409,yes,no,577,Dead
40,management,single,secondary,664,no,no,1342,Dead
26,labourer,single,secondary,223,no,yes,1002,Dead
35,management,single,tertiary,-324,no,yes,985,Dead
34,labourer,single,secondary,-30,no,no,1360,Dead
41,management,single,tertiary,1253,no,no,1134,Dead
44,management,married,primary,4758,yes,no,712,Dead
33,management,single,tertiary,30,yes,no,1077,Dead
36,management,divorced,tertiary,81,no,yes,560,Dead
38,labourer,married,secondary,0,yes,no,1545,Dead
35,labourer,married,tertiary,328,yes,no,654,Dead
41,labourer,single,tertiary,145,no,no,1833,Dead
41,management,divorced,unknown,465,yes,no,1508,Dead
28,labourer,married,secondary,751,yes,no,598,Dead
26,labourer,married,secondary,-379,yes,yes,1237,Dead
39,labourer,single,secondary,0,no,no,864,Dead
25,management,married,unknown,349,yes,no,1037,Dead
37,management,married,secondary,1110,yes,no,802,Dead
